Epoch no. 1 | instant loss = 0.0092 | avg_loss = 0.0092
Epoch no. 1 | instant loss = 0.0011 | avg_loss = 0.0011
Epoch no. 1 | instant loss = 0.0026 | avg_loss = 0.0026
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0033 | avg_loss = 0.0033
Epoch no. 1 | instant loss = 0.003 | avg_loss = 0.003
Epoch no. 1 | instant loss = 0.0008 | avg_loss = 0.0008
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0032 | avg_loss = 0.0032
Epoch no. 1 | instant loss = 0.009 | avg_loss = 0.009
Epoch no. 1 | instant loss = 0.0011 | avg_loss = 0.0011
Epoch no. 1 | instant loss = 0.0045 | avg_loss = 0.0045
Epoch no. 1 | instant loss = 0.0016 | avg_loss = 0.0016
Epoch no. 1 | instant loss = 0.0025 | avg_loss = 0.0025
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0034 | avg_loss = 0.0034
Epoch no. 1 | instant loss = 0.0008 | avg_loss = 0.0008
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0029 | avg_loss = 0.0029
Epoch no. 1 | instant loss = 0.0015 | avg_loss = 0.0015
Epoch no. 1 | instant loss = 0.0016 | avg_loss = 0.0016
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0008 | avg_loss = 0.0008
Epoch no. 1 | instant loss = 0.0156 | avg_loss = 0.0156
Epoch no. 1 | instant loss = 0.0031 | avg_loss = 0.0031
Epoch no. 1 | instant loss = 0.0011 | avg_loss = 0.0011
Epoch no. 1 | instant loss = 0.0021 | avg_loss = 0.0021
Epoch no. 1 | instant loss = 0.0034 | avg_loss = 0.0034
Epoch no. 1 | instant loss = 0.0232 | avg_loss = 0.0232
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0147 | avg_loss = 0.0147
Epoch no. 1 | instant loss = 0.0053 | avg_loss = 0.0053
Epoch no. 1 | instant loss = 0.0023 | avg_loss = 0.0023
Epoch no. 1 | instant loss = 0.0026 | avg_loss = 0.0026
Epoch no. 1 | instant loss = 0.0108 | avg_loss = 0.0108
Epoch no. 1 | instant loss = 0.0019 | avg_loss = 0.0019
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.0041 | avg_loss = 0.0041
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
Epoch no. 1 | instant loss = 0.0016 | avg_loss = 0.0016
Epoch no. 1 | instant loss = 0.0075 | avg_loss = 0.0075
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0008 | avg_loss = 0.0008
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0029 | avg_loss = 0.0029
Epoch no. 1 | instant loss = 0.0013 | avg_loss = 0.0013
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0086 | avg_loss = 0.0086
Epoch no. 1 | instant loss = 0.0014 | avg_loss = 0.0014
Epoch no. 1 | instant loss = 0.0024 | avg_loss = 0.0024
Epoch no. 1 | instant loss = 0.0061 | avg_loss = 0.0061
Epoch no. 1 | instant loss = 0.0209 | avg_loss = 0.0209
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0037 | avg_loss = 0.0037
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
Epoch no. 1 | instant loss = 0.004 | avg_loss = 0.004
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0177 | avg_loss = 0.0177
Epoch no. 1 | instant loss = 0.0026 | avg_loss = 0.0026
Epoch no. 1 | instant loss = 0.0028 | avg_loss = 0.0028
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0013 | avg_loss = 0.0013
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0069 | avg_loss = 0.0069
Epoch no. 1 | instant loss = 0.0 | avg_loss = 0.0
Epoch no. 1 | instant loss = 0.0024 | avg_loss = 0.0024
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0042 | avg_loss = 0.0042
Epoch no. 1 | instant loss = 0.0021 | avg_loss = 0.0021
Epoch no. 1 | instant loss = 0.0014 | avg_loss = 0.0014
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0044 | avg_loss = 0.0044
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.002 | avg_loss = 0.002
Epoch no. 1 | instant loss = 0.0028 | avg_loss = 0.0028
Epoch no. 1 | instant loss = 0.0008 | avg_loss = 0.0008
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0008 | avg_loss = 0.0008
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0142 | avg_loss = 0.0142
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0063 | avg_loss = 0.0063
Epoch no. 1 | instant loss = 0.0023 | avg_loss = 0.0023
Epoch no. 1 | instant loss = 0.0131 | avg_loss = 0.0131
Epoch no. 1 | instant loss = 0.0 | avg_loss = 0.0
Epoch no. 1 | instant loss = 0.0042 | avg_loss = 0.0042
Epoch no. 1 | instant loss = 0.0014 | avg_loss = 0.0014
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0255 | avg_loss = 0.0255
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0015 | avg_loss = 0.0015
Epoch no. 1 | instant loss = 0.0015 | avg_loss = 0.0015
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0011 | avg_loss = 0.0011
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
Epoch no. 1 | instant loss = 0.0048 | avg_loss = 0.0048
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0062 | avg_loss = 0.0062
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0048 | avg_loss = 0.0048
Epoch no. 1 | instant loss = 0.0016 | avg_loss = 0.0016
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0046 | avg_loss = 0.0046
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0039 | avg_loss = 0.0039
Epoch no. 1 | instant loss = 0.0016 | avg_loss = 0.0016
Epoch no. 1 | instant loss = 0.0026 | avg_loss = 0.0026
Epoch no. 1 | instant loss = 0.0014 | avg_loss = 0.0014
Epoch no. 1 | instant loss = 0.0014 | avg_loss = 0.0014
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0011 | avg_loss = 0.0011
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0023 | avg_loss = 0.0023
Epoch no. 1 | instant loss = 0.0055 | avg_loss = 0.0055
Epoch no. 1 | instant loss = 0.006 | avg_loss = 0.006
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.003 | avg_loss = 0.003
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0008 | avg_loss = 0.0008
Epoch no. 1 | instant loss = 0.0071 | avg_loss = 0.0071
Epoch no. 1 | instant loss = 0.0011 | avg_loss = 0.0011
Epoch no. 1 | instant loss = 0.0017 | avg_loss = 0.0017
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0066 | avg_loss = 0.0066
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0512 | avg_loss = 0.0512
Epoch no. 1 | instant loss = 0.0015 | avg_loss = 0.0015
Epoch no. 1 | instant loss = 0.0017 | avg_loss = 0.0017
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
Epoch no. 1 | instant loss = 0.0016 | avg_loss = 0.0016
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0041 | avg_loss = 0.0041
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0027 | avg_loss = 0.0027
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0181 | avg_loss = 0.0181
Epoch no. 1 | instant loss = 0.0019 | avg_loss = 0.0019
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0064 | avg_loss = 0.0064
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0018 | avg_loss = 0.0018
Epoch no. 1 | instant loss = 0.0014 | avg_loss = 0.0014
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0048 | avg_loss = 0.0048
Epoch no. 1 | instant loss = 0.0119 | avg_loss = 0.0119
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0019 | avg_loss = 0.0019
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0078 | avg_loss = 0.0078
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0 | avg_loss = 0.0
Epoch no. 1 | instant loss = 0.0027 | avg_loss = 0.0027
Epoch no. 1 | instant loss = 0.0053 | avg_loss = 0.0053
Epoch no. 1 | instant loss = 0.0032 | avg_loss = 0.0032
Epoch no. 1 | instant loss = 0.0019 | avg_loss = 0.0019
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0045 | avg_loss = 0.0045
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0015 | avg_loss = 0.0015
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.002 | avg_loss = 0.002
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0 | avg_loss = 0.0
Epoch no. 1 | instant loss = 0.0065 | avg_loss = 0.0065
Epoch no. 1 | instant loss = 0.0021 | avg_loss = 0.0021
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0045 | avg_loss = 0.0045
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0 | avg_loss = 0.0
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0249 | avg_loss = 0.0249
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0 | avg_loss = 0.0
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0028 | avg_loss = 0.0028
Epoch no. 1 | instant loss = 0.0034 | avg_loss = 0.0034
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0017 | avg_loss = 0.0017
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0013 | avg_loss = 0.0013
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0017 | avg_loss = 0.0017
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0 | avg_loss = 0.0
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0175 | avg_loss = 0.0175
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0004 | avg_loss = 0.0004
Epoch no. 1 | instant loss = 0.0069 | avg_loss = 0.0069
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0041 | avg_loss = 0.0041
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
Epoch no. 1 | instant loss = 0.0043 | avg_loss = 0.0043
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0019 | avg_loss = 0.0019
Epoch no. 1 | instant loss = 0.0041 | avg_loss = 0.0041
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.0001 | avg_loss = 0.0001
Epoch no. 1 | instant loss = 0.0 | avg_loss = 0.0
Epoch no. 1 | instant loss = 0.0056 | avg_loss = 0.0056
Epoch no. 1 | instant loss = 0.0032 | avg_loss = 0.0032
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0006 | avg_loss = 0.0006
Epoch no. 1 | instant loss = 0.0035 | avg_loss = 0.0035
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0014 | avg_loss = 0.0014
Epoch no. 1 | instant loss = 0.0126 | avg_loss = 0.0126
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.0026 | avg_loss = 0.0026
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.0013 | avg_loss = 0.0013
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0016 | avg_loss = 0.0016
